"Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24"
"SP1","8/11/2023","18:30","Almeria","Vallecano","0","2","2","2.45","3.3","2.9","2.5","3.2","2.87","2.55","3.25","2.85","2.62","3.3","2.96","2.4","3","2.7","2.55","3.25","2.88","2.63","3.44","3.04","2.54","3.26","2.92"
"SP1","8/11/2023","21:00","Sevilla","Valencia","1","2","2","1.91","3.5","4.2","1.93","3.3","4.2","1.9","3.4","4.3","1.95","3.47","4.48","1.8","3.1","4","1.91","3.4","4.33","1.98","3.54","4.5","1.93","3.4","4.33"
"SP1","8/12/2023","16:00","Sociedad","Girona","1","1","0","1.62","4","5.25","1.6","3.9","5.75","1.63","3.95","5.5","1.65","4.05","5.66","1.5","3.6","5.5","1.62","4","5.5","1.68","4.14","6","1.63","3.97","5.58"
"SP1","8/12/2023","18:30","Las Palmas","Mallorca","1","1","0","2.4","3","3.3","2.4","3","3.2","2.45","3","3.2","2.45","3.02","3.46","2.3","2.8","3","2.45","3","3.25","2.5","3.15","3.47","2.44","3","3.31"
"SP1","8/12/2023","20:30","Ath Bilbao","Real Madrid","0","2","2","3.3","3.5","2.15","3.4","3.5","2.05","3.3","3.5","2.15","3.43","3.58","2.19","3.2","3.2","2","3.3","3.5","2.15","3.6","3.65","2.22","3.4","3.52","2.15"
"SP1","8/13/2023","16:00","Celta","Osasuna","0","2","2","2.05","3.2","3.9","2.05","3.25","3.7","2.15","3.25","3.65","2.15","3.19","3.99","2","3","3.4","2.1","3.25","3.75","2.2","3.44","3.99","2.12","3.23","3.8"
"SP1","8/13/2023","18:30","Villarreal","Betis","1","2","2","1.75","4","4.2","1.73","3.9","4.5","1.77","3.9","4.3","1.81","3.98","4.43","1.62","3.7","4.2","1.75","3.9","4.5","1.83","4.1","4.7","1.77","3.93","4.4"
"SP1","8/13/2023","20:30","Getafe","Barcelona","0","0","0","6.5","3.8","1.57","6","4","1.57","6.25","3.95","1.57","6.69","4.04","1.57","5.8","3.7","1.44","6.5","4","1.55","6.7","4.2","1.61","6.35","3.99","1.57"
"SP1","8/14/2023","18:30","Cadiz","Alaves","1","0","1","2.2","3","3.75","2.15","3.1","3.8","2.2","3.05","3.7","2.25","3.08","3.86","2","2.88","3.6","2.1","3","3.6","2.26","3.23","4","2.19","3.06","3.79"
"SP1","8/14/2023","20:30","Ath Madrid","Granada","3","1","1","1.3","5.5","9.5","1.3","5.5","10.5","1.33","5.5","9.5","1.31","5.76","10.3","1.22","4.8","9.5","1.29","5","9.5","1.33","6","11.2","1.3","5.49","10.27"
"SP1","8/18/2023","18:30","Mallorca","Villarreal","0","1","2","2.8","3.2","2.6","2.87","3.1","2.55","2.8","3.15","2.65","3.04","3.13","2.68","2.75","2.88","2.45","2.9","3.2","2.55","3.1","3.25","2.71","2.95","3.11","2.63"
"SP1","8/18/2023","20:30","Valencia","Las Palmas","1","0","1","1.57","3.9","6","1.58","3.9","6","1.63","3.75","5.75","1.61","4.02","6.49","1.53","3.5","5.5","1.55","4","6.5","1.65","4.1","6.6","1.59","3.94","6.28"
"SP1","8/19/2023","16:00","Sociedad","Celta","1","1","2","1.73","3.4","5.5","1.75","3.5","5","1.75","3.5","5.25","1.76","3.54","5.57","1.67","3.25","4.5","1.75","3.5","5.25","1.83","3.64","5.6","1.76","3.5","5.24"
"SP1","8/19/2023","18:30","Almeria","Real Madrid","1","3","2","8","4.75","1.4","7.75","4.8","1.39","7.75","4.9","1.4","8.15","5.11","1.4","7.5","4.4","1.3","8.5","5","1.36","8.5","5.3","1.43","8","5.01","1.39"
"SP1","8/19/2023","20:30","Osasuna","Ath Bilbao","0","2","2","2.9","3","2.63","2.75","3.1","2.65","2.8","3.05","2.75","2.89","3.1","2.79","2.6","2.9","2.5","2.8","3.1","2.7","2.95","3.29","2.8","2.83","3.11","2.71"
"SP1","8/20/2023","18:00","Girona","Getafe","3","0","1","2.05","3.1","4","2.05","3.1","4","2.05","3.15","4","2.06","3.22","4.31","2","2.9","3.6","2.05","3.2","4.1","2.1","3.37","4.4","2.05","3.18","4.15"
"SP1","8/20/2023","18:30","Barcelona","Cadiz","2","0","1","1.2","7","13","1.21","6.5","14.5","1.25","6.25","13","1.21","6.9","14.96","1.17","5.8","11","1.2","6.5","15","1.25","7.5","17","1.21","6.7","14.64"
"SP1","8/20/2023","20:30","Betis","Ath Madrid","0","0","0","3.8","3.4","2","3.8","3.4","2","3.8","3.4","2.05","3.93","3.57","2.02","3.5","3.2","1.91","4","3.3","2","4","3.68","2.08","3.86","3.45","2.03"
"SP1","8/21/2023","18:00","Alaves","Sevilla","4","3","1","3.3","3.1","2.35","3.25","3","2.37","3.25","3.05","2.4","3.45","3.1","2.41","3.1","2.8","2.25","3.13","3","2.3","3.55","3.23","2.45","3.32","3.06","2.4"
"SP1","8/21/2023","20:30","Granada","Vallecano","0","2","2","2.75","3","2.8","2.6","3.1","2.85","2.65","3.05","2.85","2.68","3.09","3.03","2.45","2.88","2.7","2.5","3.1","2.75","2.75","3.26","3.1","2.65","3.08","2.92"
"SP1","8/25/2023","18:30","Las Palmas","Sociedad","0","0","0","4.33","3.1","2","0","0","0","4.2","3.05","2.05","4.23","3.36","2.04","3.75","3","1.91","4","3.2","2.05","4.33","3.46","2.1","4.1","3.28","2.04"
"SP1","8/25/2023","20:30","Celta","Real Madrid","0","1","2","4.75","3.9","1.7","0","0","0","4.7","3.9","1.73","4.93","3.97","1.75","4.33","3.6","1.62","4.6","3.9","1.73","5.11","4.12","1.78","4.74","3.94","1.74"
"SP1","8/26/2023","18:00","Cadiz","Almeria","1","1","0","2.25","3.2","3.3","0","0","0","2.25","3.3","3.25","2.24","3.44","3.44","2.15","3.1","3","2.3","3.3","3.2","2.3","3.52","3.5","2.25","3.36","3.34"
"SP1","8/26/2023","18:30","Granada","Mallorca","3","2","1","2.6","3","3","0","0","0","2.6","3","3","2.71","3.03","3.05","2.38","2.8","2.9","2.6","3","3","2.73","3.17","3.15","2.65","3","3.01"
"SP1","8/26/2023","20:30","Sevilla","Girona","1","2","2","2.05","3.4","3.6","0","0","0","2.1","3.45","3.45","2.1","3.52","3.73","1.8","3.3","3.7","1.95","3.4","3.7","2.16","3.6","3.85","2.08","3.48","3.65"
"SP1","8/27/2023","16:30","Villarreal","Barcelona","3","4","2","3.6","3.5","2","0","0","0","3.5","3.6","2.05","3.62","3.76","2.06","3.2","3.4","1.95","3.4","3.75","2.05","3.78","3.98","2.11","3.54","3.7","2.05"
"SP1","8/27/2023","18:30","Valencia","Osasuna","1","2","2","1.91","3.4","4","0","0","0","1.9","3.45","4.2","1.89","3.56","4.53","1.85","3.1","3.8","1.93","3.4","4.2","1.96","3.63","4.6","1.9","3.49","4.33"
"SP1","8/27/2023","20:30","Ath Bilbao","Betis","4","2","1","1.85","3.5","4.2","0","0","0","1.9","3.6","4.1","1.96","3.7","4","1.75","3.4","3.9","1.9","3.5","4.2","1.99","3.75","4.2","1.92","3.66","4.03"
"SP1","8/28/2023","18:30","Getafe","Alaves","1","0","1","2.2","2.88","3.8","0","0","0","2.25","2.95","3.8","2.36","2.89","3.88","2.05","2.75","3.7","2.15","2.88","3.6","2.36","3.06","4","2.28","2.93","3.8"
"SP1","8/28/2023","20:30","Vallecano","Ath Madrid","0","7","2","4.2","3.3","1.95","0","0","0","4","3.45","1.95","4.16","3.48","2","3.8","3.4","1.75","3.8","3.4","1.87","4.3","3.62","2.04","4.04","3.47","1.97"
"SP1","9/1/2023","18:30","Cadiz","Villarreal","3","1","1","3.4","3.4","2.15","3.3","3.5","2.15","3.3","3.5","2.15","3.43","3.59","2.21","2.88","3.25","2.1","3.3","3.5","2.15","3.5","3.72","2.21","3.36","3.53","2.18"
"SP1","9/1/2023","21:00","Almeria","Celta","2","3","2","2.8","3.4","2.5","2.87","3.25","2.45","2.9","3.35","2.45","3.04","3.33","2.55","2.75","3.1","2.3","2.9","3.3","2.5","3.09","3.42","2.6","2.97","3.31","2.5"
"SP1","9/2/2023","13:00","Sociedad","Granada","5","3","1","1.44","4.5","7","1.44","4.6","7.25","1.45","4.6","7","1.47","4.63","7.49","1.33","4.2","7","1.44","4.5","7.5","1.5","4.8","7.5","1.45","4.59","7.29"
"SP1","9/2/2023","15:15","Real Madrid","Getafe","2","1","1","1.33","5.25","9.5","1.31","5.25","10","1.33","5.25","10","1.34","5.13","10.76","1.2","5","11","1.3","5","11.5","1.36","5.4","11.5","1.33","5.14","10.55"
"SP1","9/2/2023","17:30","Alaves","Valencia","1","0","1","2.9","2.88","2.75","2.9","3","2.65","2.9","2.95","2.75","2.96","2.99","2.82","2.8","2.7","2.5","2.9","2.9","2.8","3.04","3","2.85","2.93","2.94","2.77"
"SP1","9/2/2023","20:00","Betis","Vallecano","1","0","1","1.95","3.4","4","1.95","3.5","3.9","1.97","3.45","3.9","1.98","3.55","4.14","1.8","3.3","3.7","1.95","3.4","4.1","2.05","3.64","4.25","1.98","3.5","3.99"
"SP1","9/3/2023","13:00","Girona","Las Palmas","1","0","1","1.67","3.8","5.25","1.66","3.8","5.25","1.67","3.8","5.25","1.69","3.83","5.59","1.57","3.3","5.5","1.67","3.75","5.5","1.72","4","5.6","1.68","3.79","5.46"
"SP1","9/3/2023","15:15","Mallorca","Ath Bilbao","0","0","0","3.3","3","2.38","3.1","3.1","2.4","3.25","3.1","2.4","3.3","3.11","2.49","2.9","2.88","2.3","3.2","3.1","2.4","3.4","3.21","2.49","3.26","3.09","2.42"
"SP1","9/3/2023","20:00","Osasuna","Barcelona","1","2","2","5.25","4","1.65","5","4","1.65","5","4.1","1.65","5.37","4.17","1.65","4.4","3.6","1.62","5.25","4","1.65","5.4","4.33","1.7","5.12","4.1","1.66"
"SP1","9/15/2023","20:00","Vallecano","Alaves","2","0","1","2","3.25","4","1.98","3.1","4.33","2","3.15","4.2","2.03","3.23","4.52","1.85","2.9","4.2","2","3.13","4.33","2.06","3.35","4.6","2.01","3.2","4.36"
"SP1","9/16/2023","13:00","Ath Bilbao","Cadiz","3","0","1","1.53","4","7","1.55","4","6.25","1.55","4","6.5","1.56","4.17","6.66","1.44","3.7","6.5","1.53","4","7","1.59","4.33","7","1.55","4.08","6.56"
"SP1","9/16/2023","15:15","Valencia","Ath Madrid","3","0","1","3.8","3.3","2.05","3.7","3.4","2.05","3.75","3.35","2.05","3.93","3.41","2.08","3.6","3.1","1.91","3.75","3.4","2.05","4.04","3.5","2.13","3.82","3.38","2.06"
"SP1","9/16/2023","17:30","Celta","Mallorca","0","1","2","2","3.1","4.33","2","3.1","4.1","2.05","3.15","4.1","2.08","3.13","4.4","1.95","2.88","3.75","2.05","3.1","4.2","2.11","3.25","4.5","2.05","3.13","4.25"
"SP1","9/16/2023","20:00","Barcelona","Betis","5","0","1","1.36","5.25","7.5","1.39","5","7.25","1.37","5.25","7.5","1.38","5.4","8.04","1.3","4.6","7","1.36","5","8.5","1.4","5.6","8.5","1.37","5.23","7.99"
"SP1","9/17/2023","13:00","Getafe","Osasuna","3","2","1","2.63","3","3","2.6","2.9","3.1","2.6","2.95","3.1","2.65","2.93","3.24","2.4","2.7","3","2.6","2.9","3.13","2.68","3.09","3.26","2.6","2.93","3.16"
"SP1","9/17/2023","15:15","Villarreal","Almeria","2","1","1","1.44","4.5","7","1.47","4.75","6","1.47","4.7","6.25","1.48","4.98","6.38","1.4","4.33","5.5","1.45","4.75","6.5","1.53","5.1","7","1.48","4.77","6.36"
"SP1","9/17/2023","17:30","Sevilla","Las Palmas","1","0","1","1.62","4","5.5","1.63","3.9","5.25","1.63","3.9","5.5","1.64","3.93","5.99","1.53","3.5","5.5","1.62","3.8","5.75","1.68","4.08","6","1.64","3.92","5.68"
"SP1","9/17/2023","20:00","Real Madrid","Sociedad","2","1","1","1.65","4","5","1.63","4","5.25","1.63","4.1","5.25","1.69","3.97","5.31","1.53","3.75","4.75","1.65","3.9","5.25","1.73","4.2","5.5","1.67","3.97","5.2"
"SP1","9/18/2023","20:00","Granada","Girona","2","4","2","2.63","3.5","2.6","2.65","3.3","2.6","2.65","3.35","2.65","2.78","3.44","2.65","2.6","3.1","2.4","2.6","3.25","2.5","2.8","3.52","2.7","2.71","3.37","2.64"
"SP1","9/22/2023","20:00","Alaves","Ath Bilbao","0","2","2","4.2","3","2.05","3.9","3.1","2.1","4","3.1","2.1","4.27","3.16","2.12","3.7","2.9","1.95","4","3.2","2.05","4.33","3.24","2.15","4.07","3.14","2.09"
"SP1","9/23/2023","13:00","Girona","Mallorca","5","3","1","1.85","3.5","4.2","1.88","3.4","4.2","1.9","3.4","4.3","1.94","3.39","4.54","1.85","3.1","3.9","1.91","3.3","4.5","1.98","3.5","4.8","1.92","3.38","4.42"
"SP1","9/23/2023","15:15","Osasuna","Sevilla","0","0","0","2.6","3.1","2.88","2.5","3.25","2.87","2.55","3.2","2.9","2.62","3.22","2.99","2.3","3","2.8","2.63","3.1","2.9","2.64","3.36","3.2","2.55","3.21","2.94"
"SP1","9/23/2023","17:30","Barcelona","Celta","3","2","1","1.29","6","9","1.29","5.75","9.5","1.3","6","9.5","1.29","6.04","10.38","1.2","5.5","9.5","1.25","6","11","1.32","6.41","11.3","1.29","5.95","10.23"
"SP1","9/23/2023","20:00","Almeria","Valencia","2","2","0","3","3.6","2.3","3","3.4","2.3","2.95","3.5","2.35","3.11","3.53","2.36","2.8","3.1","2.25","3.13","3.4","2.3","3.19","3.62","2.41","3.04","3.48","2.34"
"SP1","9/24/2023","13:00","Sociedad","Getafe","4","3","1","1.53","3.8","7","1.55","3.7","7","1.55","3.75","7","1.56","3.82","7.76","1.44","3.4","6.5","1.53","3.8","7.5","1.62","3.98","8.3","1.55","3.77","7.37"
"SP1","9/24/2023","15:15","Vallecano","Villarreal","1","1","0","2.5","3.5","2.63","2.5","3.5","2.65","2.5","3.55","2.7","2.56","3.54","2.83","2.3","3.25","2.6","2.55","3.5","2.7","2.6","3.73","2.83","2.52","3.54","2.74"
"SP1","9/24/2023","17:30","Betis","Cadiz","1","1","0","1.8","3.5","4.5","1.83","3.5","4.4","1.83","3.55","4.4","1.86","3.62","4.64","1.7","3.4","4.2","1.85","3.5","4.5","1.9","3.73","4.64","1.85","3.56","4.49"
"SP1","9/24/2023","17:30","Las Palmas","Granada","1","0","1","1.95","3.5","3.6","2","3.4","3.7","2.05","3.5","3.7","2.05","3.56","3.87","1.91","3.1","3.6","2.05","3.3","3.9","2.08","3.64","3.95","2.03","3.49","3.77"
"SP1","9/24/2023","20:00","Ath Madrid","Real Madrid","3","1","1","2.7","3.4","2.55","2.75","3.3","2.5","2.75","3.4","2.55","2.88","3.37","2.61","2.7","3","2.4","2.8","3.3","2.55","3.02","3.5","2.63","2.83","3.36","2.56"
